0, "android_top_new_free", "iphone_grossing", "iphone_free", "android_paid", "iphone_paid", "android_grossing", "android_free", "android_top_new_paid"
1, "Fanatical Football", "Candy Crush Saga", "Bitstrips", "SwiftKey Keyboard", "Backflip Madness", "Candy Crush Saga", "Facebook", "Rabbids Big Bang"
2, "Plants vs. Zombies™ 2", "Clash of Clans", "Star Wars: Tiny Death Star", "Minecraft - Pocket Edition", "Duck Dynasty®: Battle of the Beards", "Pet Rescue Saga", "Pandora® internet radio", "Pocket Harvest"
3, "Westbound", "Pandora Radio", "Call of Duty®", "Titanium Backup PRO Key ★ root", "Rayman Fiesta Run", "Clash of Clans", "Instagram", "Call of Duty®: Strike Team"
4, "Jelly Splash", "Game of War - Fire Age", "QuizUp: The biggest trivia game in the world!", "Nova Launcher Prime", "Angry Birds Star Wars II", "The Hobbit: Kingdoms", "Candy Crush Saga", "Justin.tv"
5, "Dragon Realms", "Pet Rescue Saga", "NinJump Rooftops", "Beautiful Widgets Pro", "Plague Inc.", "The Simpsons™: Tapped Out", "Bitstrips", "Skip-Bo™"
6, "Lines Classic", "The Simpsons™: Tapped Out", "Facebook", "Root Explorer", "Minecraft – Pocket Edition", "MARVEL War of Heroes", "Facebook Messenger", "TeamSpeak 3"
7, "Where&#39;s My Water? 2", "Hay Day", "Deer Hunter 2014", "Poweramp Full Version Unlocker", "Afterlight", "Jackpot Party Casino - Slots", "Clean Master (Cleaner) - FREE", "Scan - QR and Barcode Reader"
8, "Baby Pet Vet Doctor", "MARVEL War of Heroes", "Snapchat", "ROM Manager (Premium)", "Emoji Emoticons Pro — Best Emojis Emoticon Keyboard with Text Tricks for SMS, Facebook and Twitter", "DEER HUNTER 2014", "Super-Bright LED Flashlight", "Random Heroes"
9, "War of Tanks", "Big Fish Casino – Free Slots, Blackjack, Roulette, Poker and More!", "YouTube", "Swype Keyboard", "Free Music Download Pro - Mp3 Downloader", "BINGO Blitz - FREE Bingo+Slots", "Netflix", "Switchr Pro Key"
10, "BBM", "Slotomania - FREE Slots", "Ab Workouts Free", "ROM Toolbox Pro", "Motocross Elite", "Castle Clash", "Snapchat", "Monster Loves You!"
11, "Greed for Glory: Dragon Cities", "Deer Hunter 2014", "Instagram", "FoxFi Key (supports PdaNet)", "Heads Up!", "Slotomania - FREE Slots", "Skype - free IM &amp; video calls", "Hotel Transylvania Dash Deluxe"
12, "Bubble Shooter", "DragonVale", "Candy Crush Saga", "HD Widgets", "My Talking Pet", "Jackpot Slots - Slot Machines", "Kik Messenger", "Truck VS Trail"
13, "War of Clans - Rage of Dragons", "Zoosk - #1 dating app", "Groupon", "TuneIn Radio Pro", "Knock – unlock your Mac without typing a thing. Your iPhone is the password.", "Puzzle &amp; Dragons", "Twitter", "Drift Mania: Street Outlaws"
14, "DEAD TRIGGER 2", "Kingdoms of Camelot: Battle for the North", "Word Scramble™", "Plants vs. Zombies™", "LEGO® The Lord of the Rings™", "Pandora® internet radio", "Pet Rescue Saga", "Ghost Toasters - Regular Show"
15, "Farm Story: Thanksgiving", "The Hobbit: Kingdoms of Middle-earth", "Twitter", "WeatherBug Elite", "Bloons TD 5", "Crime City (Action RPG)", "ZEDGE™", "I, Gladiator"
16, "Hotel Transylvania Dash", "Kingdom Age", "Google Maps", "Tasker", "Fantastical 2", "Blood Brothers (RPG)", "eBay", "FlashFox Pro - Flash Browser"
17, "Hello Kitty Cafe Seasons", "GSN Casino – Wheel of Fortune Slots, Deal or No Deal Slots, Video Bingo and more", "3D Trucker Parking Simulator Game - Real Fun Truck Driving Test Run Car Park Sim Addictive Racing Games Free", "Camera ZOOM FX", "Free Music Download Pro - Downloader and Player", "Slot City - Free Casino Slots", "Fanatical Football", "ThyrusHolo KIT KAT Light Theme"
18, "Archery Tournament", "DoubleDown Casino - FREE Slots, Blackjack &amp; Video Poker", "Black Friday by BradsDeals", "SoundHound ∞", "PicPlayPost", "DoubleDown Casino - FREE Slots", "Subway Surfers", "GetCrocked"
19, "Thor: TDW - The Official Game", "CSR Classics", "Pandora Radio", "OfficeSuite Pro 7 (PDF &amp; HD)", "Ultra Fitness", "Megapolis", "WhatsApp Messenger", "FLATASTICO APEX/NOVA/GO THEME"
20, "Halloween SPA - kids games", "Skype for iPhone", "Pimp My Keyboard", "Smart Tools", "Oldify 2", "Fantasica", "Plants vs. Zombies™ 2", "Annoying Orange: Splatter Up!"
21, "Kids Hair Salon - kids games", "Poker by Zynga", "Google Search", "XDA Premium", "TETRIS®", "Modern War - World Domination", "DEER HUNTER 2014", "Umbra - Icon Pack"
22, "Grand Theft Auto: iFruit", "The Sims™ FreePlay", "Waze Social GPS, Maps &amp; Traffic", "Need for Speed™ Most Wanted", "Pixel Gun 3D - Block World Pocket Survival Shooter with Skins Maker for minecraft (PC edition) &amp; Multiplayer", "Knights &amp; Dragons", "Westbound", "Wake the Cat"
23, "Slots™: Haunted Halloween", "Bejeweled Blitz", "Vine", "Torque Pro (OBD 2 &amp; Car)", "Sleep Cycle alarm clock", "Age of Warring Empire", "Yahoo Mail", "Mystery on Telescope Hill"
